,file,y,x,ulx,uly,lrx,lry
1698,133-49.tif,133,49,442527.43665575463,397762.14796568424,445027.5111849642,395262.0734372248
1699,133-50.tif,133,50,442527.43665575463,400262.2224941436,445027.5111849642,397762.14796568424
1700,133-51.tif,133,51,442527.43665575463,402762.297022603,445027.5111849642,400262.2224941436
1701,133-52.tif,133,52,442527.43665575463,405262.37155106245,445027.5111849642,402762.297022603
1702,133-53.tif,133,53,442527.43665575463,407762.4460795218,445027.5111849642,405262.37155106245
1703,133-54.tif,133,54,442527.43665575463,410262.5206079812,445027.5111849642,407762.4460795218
1704,133-55.tif,133,55,442527.43665575463,412762.5951365669,445027.5111849642,410262.5206081075
1705,133-56.tif,133,56,442527.43665575463,415262.6696650263,445027.5111849642,412762.5951365669
1706,133-57.tif,133,57,442527.43665575463,417762.7441934857,445027.5111849642,415262.6696650263
1707,133-58.tif,133,58,442527.43665575463,420262.8187219451,445027.5111849642,417762.7441934857
1708,133-59.tif,133,59,442527.43665575463,422762.8932504045,445027.5111849642,420262.8187219451
1709,133-60.tif,133,60,442527.43665575463,425262.9677788639,445027.5111849642,422762.8932504045
1710,133-61.tif,133,61,442527.43665575463,427762.0426773639,445027.5111849642,425262.9677788639
1711,133-62.tif,133,62,442527.09283401276,430262.8662633562,445027.20814377815,427762.7509533407
1712,133-63.tif,133,63,442527.17297267006,432762.985061425,445027.2931688893,430262.8648639553
1713,133-64.tif,133,64,442527.2596781957,435262.10911073437,445027.38514702313,432762.98328998435
1714,133-65.tif,133,65,442527.2596781957,437762.23458181287,445027.38514702313,435262.10911073454
1715,133-66.tif,133,66,442527.4528013741,440262.3727584615,445027.5899766322,437762.2355837036
1716,133-67.tif,133,67,442527.55922475405,442762.5134794095,445027.7028318339,440262.3698715794
1717,133-68.tif,133,68,442527.6722265522,445262.6606495824,445026.8229930522,442762.51022302586
1718,133-69.tif,133,69,442527.6722265522,447762.8110761389,445026.8229930522,445262.6606495824
1719,133-7.tif,133,7,442527.129235501,292762.710791499,445027.5763289268,290343.245791063
1720,133-70.tif,133,70,442526.91831072647,450262.9758814749,445027.0835364504,447762.8106550008
1721,133-71.tif,133,71,442527.0510619962,452762.1450497749,445027.224268661,450262.97151252476
1722,133-72.tif,133,72,442527.19040317956,455262.3218812556,445027.3719779403,452762.1403064948
1723,133-73.tif,133,73,442527.19040317956,457762.5034560163,445027.3719779403,455262.3218812555
1724,133-74.tif,133,74,442527.4888670611,460262.70108703023,445027.6883404785,457762.5016123623
1725,133-75.tif,133,75,442527.6479957117,462762.9042399144,445026.8573189617,460262.69523568614
1726,133-76.tif,133,76,442526.81403835607,465262.1172519912,445027.03296430135,462762.8980149913
1727,133-77.tif,133,77,442526.81403835607,467762.336176686,445027.03296430135,465262.1172519912
